smiles_id,group_id,smiles
26325_14,C_0,C=CC/C=C\CCCC
26325_15,C_0,C/C=C\C/C=C\CCC
26325_16,C_0,CC/C=C\C/C=C\CC
26325_17,C_0,C=CC/C=C\C/C=C\C
26325_18,C_0,C=CC/C=C\CC=C
26325_19,C_0,C=CC/C=C\CC
26325_20,C_0,C=CC/C=C\C
26325_21,C_0,C=CCC=C
26325_22,C_0,CCCc1cc(O)cc(O)c1
26337_0,N_0,N[C@@H](CCS)C(=O)O
26337_3,C_0,N[C@@H](CCS)C(=O)O
26337_4,S_1,C[C@@H](N)CCS
26337_5,C_0,N[C@@H](CCS)C(=O)O
26337_6,O_0,CC[C@H](N)C(=O)O
26337_7,O_0,CC[C@H](N)C(=O)O
28286_0,C_0,C=CCc1cc(O)cc(OC)c1O
28286_1,C_0,CCc1cc(O)cc(OC)c1O
28286_2,C_0,COc1cc(O)cc(C)c1O
28286_3,C_0,CCc1cc(O)cc(OC)c1O
28286_4,C_1,C=CCc1cc(O)cc(O)c1O
28286_5,C_0,COc1cc(O)cc(CC=C(C)C)c1O
28286_6,C_0,CC(C)=CCc1cc(O)cc(O)c1O
28286_7,C_0,C=C(O)C(=CC)CC=C(C)C
28286_8,C_0,C=C(C)CC=C(C)C
28286_9,C_0,CCC=C(C)C
28286_10,C_0,CCC=C(C)C
28286_11,O_0,Cc1cc(O)cc(O)c1
28286_12,O_0,COc1cc(O)cc(C)c1O
28286_13,C_0,C=CC(OC)=C(C)O
28286_14,O_0,CCc1cccc(OC)c1O
30903_0,C_0,CCC=C(C)C
30903_1,C_0,CCCC=C(C)C
30903_2,C_0,CCC=C(C)C
30903_3,C_0,C=C(C)CCC=C(C)C
30903_4,C_0,C/C=C(\C)CCC=C(C)C
30903_5,C_0,CC/C=C(\C)CCC=C(C)C
30903_6,C_0,C=CCC/C(C)=C/CCC
30903_7,C_0,CC/C=C(\C)CCC
30903_8,C_0,C=C(C)CC/C=C(\C)CCC
30903_9,C_0,C/C=C(\C)CC/C=C(\C)CC
30903_10,C_0,C=C/C=C(\C)CCC=C(C)C
30903_11,C_0,C=CCC/C(C)=C/C=C/C
30903_12,C_0,C=C/C=C(\C)CCC
30903_13,C_0,C=C(C)/C=C/C=C(\C)CCC
30903_14,C_0,C/C=C(C)/C=C/C=C(\C)CC
30903_15,C_0,C=C/C=C(C)/C=C/C=C(C)C
30903_16,C_0,C=C/C=C/C(C)=C/C=C/C
30903_17,C_0,C=C/C=C(C)/C=C/C
30903_18,C_0,C=C/C=C/C=C(C)/C=C/C
30903_19,C_0,C=C/C(C)=C/C=C/C=C(C)C
30903_20,C_0,C=C/C(C)=C/C=C/C=C(C)C
30903_21,C_0,C=C/C=C/C=C(C)/C=C/C
30903_22,C_0,C=C/C=C/C(C)=C/C=C/C
30903_23,C_0,C=C/C=C(C)/C=C/C
30903_24,C_0,C=C/C=C(C)/C=C/C=C(C)C
30903_25,C_0,C=C/C(C)=C/C=C/C(C)=C/C
30903_26,C_0,C=C(C)/C=C/C=C(C)/C=C/C
30903_27,C_0,C=C/C=C/C(C)=C/C=C/C
30903_28,C_0,C=C/C=C(C)/C=C/C
30903_29,C_0,C=C/C=C(C)/C=C/C=C(C)C
30903_30,C_0,C=C/C(C)=C/C=C/C(C)=C/C
30903_31,C_0,C=C(C)/C=C/C=C(C)/C=C/C
30903_32,C_0,C/C=C/C=C(C)/C=C/CC
30903_33,C_0,C=C/C=C(C)/C=C/C
30903_34,C_0,C=C/C=C(C)/C=C/CC(C)(C)O
30903_35,C_0,C/C=C(C)/C=C/CC(C)(C)O
30903_36,C_0,C=C(C)/C=C/CC(C)(C)O
30903_37,C_0,C/C=C/CC(C)(C)O
30903_38,C_0,C=CCC(C)(C)O
30903_39,C_1,C=CCC(C)(C)O
30903_40,O_0,C=CCC(C)(C)O
31371_0,O_0,C=C1CC(=O)[C@@H](C(=C)C)[C@H](O)O1
31371_1,C_0,C=CC(=CC)[C@@H]1C(=O)C(=C)C(=CC)O[C@H]1O
31371_2,O_0,C=C(C)[C@@H]1C(=O)c2ccc(O)cc2O[C@H]1O
31371_3,C_0,C[C@@H]1C(=O)c2ccc(O)cc2O[C@H]1O
31371_4,C_0,O=C1[CH][C@H](O)Oc2cc(O)ccc21
31371_5,C_0,[CH]Oc1cc(O)ccc1C
31371_6,O_0,Oc1cccc(O)c1
31371_7,C_0,[CH]C(=O)c1ccc(O)cc1O
31371_8,C_0,C[C@H]1[CH]Oc2cc(O)ccc2C1=O
31371_9,C_1,C=C(C)[C@@H]1C(=O)c2ccc(O)cc2O[C@H]1O
31371_10,C_0,C=CC(=CC)[C@@H]1C(=O)c2ccccc2O[C@H]1O
31371_11,O_0,C=C1O[C@@H](O)[C@H](C(=C)C)C(=O)C1=CC
31371_12,C_0,C=C1O[C@@H](O)[C@H](c2ccccc2)C(=O)C1=CC
31371_13,C_0,C=C1CO[C@@H](O)[C@H](c2ccc(O)cc2)C1=O
31371_14,C_0,CC(=O)[C@@H](c1ccc(O)cc1)C(O)O
31371_15,C_0,[CH][C@@H](C)c1ccc(O)cc1
31371_16,C_0,[CH]c1ccc(O)cc1
31371_17,O_0,Oc1ccccc1
31371_18,C_0,[CH][C@@H](C)c1ccc(O)cc1
31371_19,C_0,CC(=O)[C@@H](c1ccc(O)cc1)C(O)O
31411_0,C_0,C=CCc1cccc(O)c1O
31411_1,C_0,CC(C)=CCc1cccc(O)c1O
31411_2,C_0,C=CCc1cccc(O)c1O
31411_3,C_0,CCc1cccc(O)c1O
31411_4,C_0,Cc1cccc(O)c1O
31411_5,C_0,CCc1cccc(O)c1O
31411_6,O_1,Cc1cccc(O)c1O
31411_7,O_0,CCc1cccc(O)c1O
31411_8,C_0,CC(C)=CCc1cccc(O)c1O
31411_9,C_0,C=C(O)C(=CC)CC=C(C)C
31411_10,C_0,C=C(C)CC=C(C)C
31411_11,C_0,CCC=C(C)C
31411_12,C_0,CCC=C(C)C
31539_0,O_0,Oc1ccccc1
31539_1,C_0,[CH]c1ccc(O)cc1
31539_2,C_0,C[C@H](O)c1ccc(O)cc1
31539_3,C_0,CC[C@H](OC)c1ccc(O)cc1
31539_4,C_0,C=C1CC(=O)C[C@@H](c2ccc(O)cc2)O1
31539_5,C_0,CC[C@H](OC)c1ccc(O)cc1
31539_6,C_0,C[C@H](O)c1ccc(O)cc1
31539_7,C_0,C=C1C(=O)C[C@@H](c2ccccc2)OC1=CC
31539_8,C_0,C=CC(=CC)[C@@H]1CC(=O)C(=C(C)O)C(=C)O1
31539_9,C_0,C=C(C)[C@@H]1CC(=O)c2c(O)cccc2O1
31539_10,O_0,C=C1O[C@H](C)CC(=O)C1=C(C)O
31539_11,C_0,C[C@@H]1CC(=O)c2c(O)cc(O)cc2O1
31539_12,C_0,O=C1C[CH]Oc2cc(O)cc(O)c21
31539_13,O_0,CC(=O)c1c(O)cc(O)cc1O
31539_14,C_0,CC(=O)c1c(O)cc(O)cc1O
31539_15,C_0,[CH]Oc1cc(O)cc(O)c1C
31539_16,O_0,Oc1cc(O)cc(O)c1
31539_17,C_1,C[C@@H]1CC(=O)c2c(O)cc(O)cc2O1
31539_18,C_0,C=C(C)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1
